uid_vk,uid_inst
4590913,473748925
4594476,1015973538
4615563,542040254
4618168,2052144866
4627254,1407280218
4637831,808315265
4656105,608289076
4678124,2354347762
4685992,1660174409
4712396,962642763
4715993,1420641278
4724076,288995781
4744390,3322742144
4773659,1113117976
4807130,972496261
4815420,328032348
4816311,4148530515
4825416,44368057
4833401,1106597219
4836203,1716998717
4923575,210169417
4952066,2970982269
4959066,1049522513
5004783,483540960
5025036,195632784
5049530,444863407
5080138,48196932
5124340,189262729
5125193,1313193222
5127481,54422906
5131924,353310337
5154529,264407502
5155851,632389974
5231228,276891533
5251764,1012530821
5252437,3437887806
5261385,224358160
5265074,293721860
5267337,1270276776
5267506,294786144
5267618,583154487
5276436,1465779009
5279139,249443683
5281235,421505016
5291822,1992040836
5295586,456264788
5325459,295822293
5331058,3434711410
5340803,287941724
5346152,438904147
5346156,293785178
5346416,1458629052
5355351,1716861230
5364724,1463504593
5367375,329667763
5373238,241803768
5383934,392681822
5403718,215301269
5405925,530136096
5411007,346657111
5440961,1387347900
5445145,593127219
5465889,484279635
5468662,2143544463
5501864,195101401
5505922,690958083
5506508,1328825137
5514056,383780382
5521909,457498292
5523427,1086730933
5528417,362934815
5547483,264460615
5579129,477211657
5587508,46688387
5603641,225445199
5636875,645574241
5636995,450894965
5641294,1303114546
5646080,1601773378
5650729,318753056
5681983,10472492
5682620,2536501014
5694048,1437002677
5697990,258960242
5698452,1281629265
5711594,1681553841
5720591,284284787
5747617,1984903273
5748197,292877709
5778971,638003747
5779927,2017952779
5789181,211290057
5797363,558281419
5804772,385838808
5845636,1537594722
5851368,552329453
5861516,514814371
5868886,441384576
5883959,45876003
5891896,3615911538
5892226,1121687480
5895992,1160511878
5907973,602317140
5909477,406444954
5912863,1292051526
5923461,32689726
5932540,320377791
5939526,1145250929
5939929,553529470
5954398,257629228
5964106,370412656
6019542,1458874644
6027838,55628258
6070398,29987429
6076235,1074034232
6086960,775037994
6091267,244187370
6091778,371120592
6093050,627166830
6095932,284406803
6141023,1925641544
6146473,819173367
6154559,2178792957
6181585,1797867975
6184256,50392719
6219758,945495225
6256031,14643470
6258898,1509719034
6278001,3557799968
